DataType,State,District,Observer,Item,Created_Date,Modified_Date
District_Report,Andhra Pradesh,Allurisita Rama Raju,SHRI DEBASIS PATNAIK,District Profile: Allurisita Rama Raju,2025-12-02T21:33:28,2025-12-02T21:33:28
District_Report,Andhra Pradesh,Anakapalli,SUSHANT MISHRA,District Profile: Anakapalli,2025-12-03T21:09:48,2025-12-03T21:09:48
District_Report,Andhra Pradesh,Anantapuram,SHRI. PARMESHWAR NAIK,District Profile: Anantapuram,2025-12-10T21:31:27,2025-12-10T21:31:27
District_Report,Andhra Pradesh,Annamayya (Rajampet),SHRI K MAHENDRAN,District Profile: Annamayya (Rajampet),2025-12-09T11:50:29,2025-12-09T11:50:29
District_Report,Andhra Pradesh,Bapatla,SHRI. SHARAD AHIRE,District Profile: Bapatla,2025-12-08T15:40:28,2025-12-08T15:40:28
District_Report,Andhra Pradesh,Chittoor,DR.K JAYAKUMAR,District Profile: Chittoor,2025-12-02T01:07:58,2025-12-02T01:07:58
District_Report,Andhra Pradesh,Chittoor City,DR.K JAYAKUMAR,District Profile: Chittoor City,2025-12-15T15:38:58,2025-12-15T15:38:58
District_Report,Andhra Pradesh,Chittoor City,TESTER 1,District Profile: Chittoor City,2026-03-05T22:08:16,2026-03-05T22:08:16
District_Report,Andhra Pradesh,Dr Ambedkar Konaseema,SHRI AHKILESH SHUKLA,District Profile: Dr Ambedkar Konaseema,2025-12-08T19:37:40,2025-12-08T19:37:40
District_Report,Andhra Pradesh,East Godavari (Rajahmundry),MS. AMBA PRASAD,District Profile: East Godavari (Rajahmundry),2025-12-09T11:48:26,2025-12-09T11:48:26
District_Report,Andhra Pradesh,Eluru,CAPT. PRAVEEN DAWAR,District Profile: Eluru,2025-12-09T00:06:50,2025-12-09T00:06:50
District_Report,Andhra Pradesh,Eluru City,CAPT. PRAVEEN DAWAR,District Profile: Eluru City,2025-12-13T22:56:03,2025-12-13T22:56:03
District_Report,Andhra Pradesh,Guntur,SHRI. SAUMYA REDDY,District Profile: Guntur,2025-12-10T01:03:30,2025-12-10T01:03:30
District_Report,Andhra Pradesh,Guntur City,SHRI. SAUMYA REDDY,District Profile: Guntur City,2025-12-10T00:22:00,2025-12-10T00:22:00
District_Report,Andhra Pradesh,Kadapa City,SHRI. VIJAY VASANTH,District Profile: Kadapa City,2025-12-14T11:43:34,2025-12-14T11:43:34
District_Report,Andhra Pradesh,Kakinada,SHRI. ALI MEHANDI,District Profile: Kakinada,2025-12-05T12:53:22,2025-12-05T12:53:22
District_Report,Andhra Pradesh,Kakinada City,SHRI. ALI MEHANDI,District Profile: Kakinada City,2025-12-05T13:18:19,2025-12-05T13:18:19
District_Report,Andhra Pradesh,Krishna (Machilipattinam),SHRI SANJAY DUTT,District Profile: Krishna (Machilipattinam),2025-12-08T09:15:00,2025-12-08T09:15:00
District_Report,Andhra Pradesh,Kurnool,SHRI. YOGESH H.C,District Profile: Kurnool,2025-12-15T22:13:39,2025-12-15T22:13:39
District_Report,Andhra Pradesh,Kurnool City,SHRI. YOGESH H.C,District Profile: Kurnool City,2025-12-17T12:38:57,2025-12-17T12:38:57
District_Report,Andhra Pradesh,Machilipatinam City,SHRI SANJAY DUTT,District Profile: Machilipatinam City,2025-12-07T20:08:54,2025-12-07T20:08:54
District_Report,Andhra Pradesh,Manyam,SHRI DEBASIS PATNAIK,District Profile: Manyam,2025-12-02T22:06:45,2025-12-02T22:06:45
District_Report,Andhra Pradesh,Nandyal,SHRI. N.A.HARIS,District Profile: Nandyal,2025-12-02T14:37:26,2025-12-02T14:37:26
District_Report,Andhra Pradesh,Nellore City,SHRI HASSAN MOULANA,District Profile: Nellore City,2025-12-10T04:30:25,2025-12-10T04:30:25
District_Report,Andhra Pradesh,NTR (Vijayawada),SHRI. NEERAJ DANGI,District Profile: NTR (Vijayawada),2025-12-09T22:33:59,2025-12-09T22:33:59
District_Report,Andhra Pradesh,Ongole City,SHRI NADEEM JAVED,District Profile: Ongole City,2025-12-14T12:46:24,2025-12-14T12:46:24
District_Report,Andhra Pradesh,Prakasam (Ongole),SHRI NADEEM JAVED,District Profile: Prakasam (Ongole),2025-12-12T15:17:52,2025-12-12T15:17:52
District_Report,Andhra Pradesh,Rajahmundry City,MS. AMBA PRASAD,District Profile: Rajahmundry City,2025-12-09T11:45:35,2025-12-09T11:45:35
District_Report,Andhra Pradesh,SPS Nellore,SHRI HASSAN MOULANA,District Profile: SPS Nellore,2025-12-10T23:26:18,2025-12-10T23:26:18
District_Report,Andhra Pradesh,Sri Satyasai (Hindupur),SHRI AJAY SINGH,District Profile: Sri Satyasai (Hindupur),2025-12-08T16:44:05,2025-12-08T16:44:05
District_Report,Andhra Pradesh,Srikakulam,SHRI SURAJ SINGH THAKUR,District Profile: Srikakulam,2025-12-01T09:03:17,2025-12-01T09:03:17
District_Report,Andhra Pradesh,Srikakulam City,SHRI SURAJ SINGH THAKUR,District Profile: Srikakulam City,2025-12-09T18:23:57,2025-12-09T18:23:57
District_Report,Andhra Pradesh,Tirupati,MS. R.SUDHA,District Profile: Tirupati,2025-12-13T15:35:12,2025-12-13T15:35:12
District_Report,Andhra Pradesh,Vijayawada City,SHRI. NEERAJ DANGI,District Profile: Vijayawada City,2025-12-10T00:06:31,2025-12-10T00:06:31
District_Report,Andhra Pradesh,Visakhapatnam,Shri Sunil Ahire,District Profile: Visakhapatnam,2025-12-11T22:29:46,2025-12-11T22:29:46
District_Report,Andhra Pradesh,Vizianagaram,SHRI. RAVINDRA DAS,District Profile: Vizianagaram,2025-12-06T23:55:56,2025-12-06T23:55:56
