id,file_path,uploaded_date,created_by,comments,district_id,attachment_type,DistrictName
3017,https://aiccreports.s3.ap-south-1.amazonaws.com/__DIR/Attachments/406292b7-9497-4359-af08-f99017b1bc46.pdf,2025-12-02T21:57:05.953,504,ARKU ATTENDANCE,2058,,Allurisita Rama Raju
3018,https://aiccreports.s3.ap-south-1.amazonaws.com/__DIR/Attachments/915b6164-afdb-4d0b-acf9-7b31fe9cceaf.pdf,2025-12-02T21:57:45.837,504,ARKU ATTENDANCE1,2058,,Allurisita Rama Raju
3019,https://aiccreports.s3.ap-south-1.amazonaws.com/__DIR/Attachments/d7be32cf-9f54-48d7-8456-7b812ff0468d.pdf,2025-12-02T21:58:16.43,504,PODARU ATTENDANCE1,2058,,Allurisita Rama Raju
3020,https://aiccreports.s3.ap-south-1.amazonaws.com/__DIR/Attachments/c65b2414-d75f-4a33-aa2e-2bbc1336de95.pdf,2025-12-02T21:58:35.973,504,PODARU ATTENDANCE,2058,,Allurisita Rama Raju
3021,https://aiccreports.s3.ap-south-1.amazonaws.com/__DIR/Attachments/0c63e51a-5027-4839-a10d-6827202958d7.pdf,2025-12-02T21:59:01.393,504,RAMPA CHODA ATTENDANCE,2058,,Allurisita Rama Raju
3022,https://aiccreports.s3.ap-south-1.amazonaws.com/__DIR/Attachments/c3f46b2f-2cc5-4d7c-8f1a-4867c622b2dd.pdf,2025-12-02T21:59:20.5,504,RAMPA CHODA ATTENDANCE1,2058,,Allurisita Rama Raju
3051,https://aiccreports.s3.ap-south-1.amazonaws.com/__DIR/Attachments/c6f26e85-06fb-456f-8e06-80e7b91f7d22.pdf,2025-12-05T19:16:30.96,508,Report on the organizational status and field visit to Ananthpur District under the AICC Sangathan Srijan Abhiyan.,2060,,Anantapuram
3117,https://aiccreports.s3.ap-south-1.amazonaws.com/__DIR/Attachments/ee1d8c44-4c81-4fef-98d3-9cc14fea0ac8.pdf,2025-12-08T16:42:02.3,509,Press Conference and Media coverage for the Sanghatan Srijan Abhiyan in Bapatla Dist of Andhra Pradesh,2063,,Bapatla
3151,https://aiccreports.s3.ap-south-1.amazonaws.com/__DIR/Attachments/cee2c629-c9fd-47d0-8901-a0176678f41d.pdf,2025-12-08T21:11:40.453,422,Final Report of Dr. B.R. Ambedkar Konaseema District Sangathan Srijan Abhiyan.,2066,,Dr Ambedkar Konaseema
3155,https://aiccreports.s3.ap-south-1.amazonaws.com/__DIR/Attachments/75fdae01-8528-40e5-9207-50f996085e06.pdf,2025-12-08T21:34:40.87,422,Ramachandrapuram One to One,2066,,Dr Ambedkar Konaseema
