State,Total,Grade_A,Grade_B,Grade_C,Grade_D,Avg_Score
Andhra Pradesh,41,6,23,11,1,53.0
Arunachal Pradesh,27,0,0,5,22,17.4
Bihar,40,11,20,9,0,56.5
Chhattisgarh,41,6,32,3,0,58.3
Delhi,14,0,2,5,7,25.4
Goa,4,1,2,1,0,59.1
Himachal Pradesh,13,4,9,0,0,67.6
Jammu and Kashmir,21,9,11,1,0,67.5
Jharkhand,25,11,12,2,0,67.1
Maharashtra,72,0,0,12,60,16.5
Manipur,14,0,11,3,0,54.0
Meghalaya,14,0,8,6,0,44.6
Nagaland,12,1,7,4,0,51.6
Odisha,35,19,15,1,0,69.6
Punjab,29,13,13,3,0,67.7
Rajasthan,50,11,33,4,2,60.7
Tamil Nadu,74,15,53,6,0,61.6
Telangana,39,11,19,9,0,59.8
Uttarakhand,27,11,15,1,0,67.9
